index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
1300,退,,辵,9,6,,retreat,タイ,しりぞ-く|しりぞ-ける,5489,3
1301,帯,帶,巾,10,4,,sash,タイ,お-びる|おび,1641,2
1302,泰,,水,10,S,,peaceful,タイ,,25969,1
1303,堆,,土,11,S,2010,piled high,タイ,,12469,1
1304,袋,,衣,11,S,,sack,タイ,ふくろ,3299,2
1305,逮,,辵,11,S,,apprehend,タイ,,2921,1
1306,替,,曰,12,S,,exchange,タイ,か-える|か-わる,3433,2
1307,貸,,貝,12,5,,lend,タイ,か-す,2221,4
1308,隊,,阜,12,4,,group,タイ,,3212,1
1309,滞,滯,水,13,S,,stagnate,タイ,とどこお-る,5506,1
1310,態,,心,14,5,,condition,タイ,,336,1
1311,戴,,戈,17,S,2010,be crowned with,タイ,,5480,1
1312,大,,大,3,1,,large,ダイ|タイ,おお|おお-きい|おお-いに,193,5
1313,代,,人,5,3,,substitute,ダイ|タイ,か-わる|か-える|よ|しろ,357,4
1314,台,臺,至,5,2,,pedestal,ダイ|タイ,,1497,4
1315,第,,竹,11,3,,ordinal number prefix,ダイ,,698,1
1316,題,,頁,18,3,,topic,ダイ,,126,4
1317,滝,瀧,水,13,S,,waterfall,,たき,4197,1
1318,宅,,宀,6,6,,home,タク,,1579,3
1319,択,擇,手,7,S,,choose,タク,,1054,1
1320,沢,澤,水,7,S,,swamp,タク,さわ,532,1
1321,卓,,十,8,S,,eminent,タク,,5246,1
1322,拓,,手,8,S,,clear (the land),タク,,11828,1
1323,託,,言,10,S,,consign,タク,,6756,1
1324,濯,,水,17,S,1981,laundry,タク,,6300,2
1325,諾,,言,15,S,,consent,ダク,,8504,1
1326,濁,,水,16,S,,voiced,ダク,にご-る|にご-す,9119,1
1327,但,,人,7,S,,however,,ただ-し,461,1
1328,達,,辵,12,4,,attain,タツ,,353,3
1329,脱,,肉,11,S,,undress,ダツ,ぬ-ぐ|ぬ-げる,2705,1
1330,奪,,大,14,S,,rob,ダツ,うば-う,1674,1
1331,棚,,木,12,S,1981,shelf,,たな,4070,1
1332,誰,,言,15,S,2010,who (question word),,だれ,161,1
1333,丹,,丶,4,S,,cinnabar,タン,,11352,1
1334,旦,,日,5,S,2010,daybreak,タン|ダン,,1621,1
1335,担,擔,手,8,6,,shouldering,タン,かつ-ぐ|にな-う,1425,2
1336,単,單,口,9,4,,simple,タン,,421,3
1337,炭,,火,9,3,,charcoal,タン,すみ,6402,2
1338,胆,膽,肉,9,S,,gall bladder,タン,,4447,1
1339,探,,手,11,6,,grope,タン,さぐ-る|さが-す,556,3
1340,淡,,水,11,S,,thin,タン,あわ-い,4728,1
1341,短,,矢,12,3,,short,タン,みじか-い,971,2
1342,嘆,嘆,口,13,S,,sigh,タン,なげ-く|なげ-かわしい,5202,1
1343,端,,立,14,S,,edge,タン,はし|は|はた,1911,1
1344,綻,,糸,14,S,2010,rip,タン,ほころ-びる,7845,1
1345,誕,,言,15,6,,nativity,タン,,3102,1
1346,鍛,,金,17,S,,forge,タン,きた-える,4461,1
1347,団,團,囗,6,5,,group,ダン（トン）,,2070,2
1348,男,,田,7,1,,male,ダン|ナン,おとこ,172,5
1349,段,,殳,9,6,,steps,ダン,,1061,3
1350,断,斷,斤,11,5,,cut off,ダン,た-つ|ことわ-る,1104,3
1351,弾,彈,弓,12,S,,bullet,ダン,ひ-く|はず-む|たま,3457,1
1352,暖,,日,13,6,,warmth,ダン,あたた-か|あたた-かい|あたた-まる|あたた-める,9458,1
1353,談,,言,15,3,,discuss,ダン,,1297,3
1354,壇,,土,16,S,,podium,ダン（タン）,,9483,1
1355,地,,土,6,2,,ground,チ|ジ,,358,4
1356,池,,水,6,2,,pond,チ,いけ,3292,2
1357,知,,矢,8,2,,know,チ,し-る,102,4
1358,値,,人,10,6,,value,チ,ね|あたい,1176,3
1359,恥,,心,10,S,,shame,チ,は-じる|はじ|は-じらう|は-ずかしい,2011,3
1360,致,,至,10,S,,(to) do,チ,いた-す,570,1
1361,遅,遲,辵,12,S,,slow,チ,おく-れる|おく-らす|おそ-い,1080,3
1362,痴,癡,疒,13,S,,stupid,チ,,6577,1
1363,稚,,禾,13,S,,immature,チ,,2948,1
1364,置,,网,13,4,,put,チ,お-く,202,3
1365,緻,,糸,16,S,2010,fine (not coarse),チ,,14117,1
1366,竹,,竹,6,1,,bamboo,チク,たけ,4992,2
1367,畜,,田,10,S,,livestock,チク,,8518,2
1368,逐,,辵,10,S,,pursue,チク,,16528,1
1369,蓄,,艸,13,S,,amass,チク,たくわ-える,5291,1
1370,築,,竹,16,5,,fabricate,チク,きず-く,2370,2
1371,秩,,禾,10,S,,regularity,チツ,,3811,1
1372,窒,,穴,11,S,,plug up,チツ,,13676,1
1373,茶,,艸,9,2,,tea,チャ|サ,,2007,4
1374,着,,羊,12,3,,wear,チャク（ジャク）,き-る|き-せる|つ-く|つ-ける,735,4
1375,嫡,,女,14,S,,legitimate wife,チャク,,38723,1
1376,中,,丨,4,1,,middle,チュウ（ジュウ）,なか,61,5
1377,仲,,人,6,4,,relationship,チュウ,なか,1193,2
1378,虫,蟲,虫,6,1,,insect,チュウ,むし,2594,2
1379,沖,,水,7,4,,open sea,チュウ,おき,2146,1
1380,宙,,宀,8,6,,mid-air,チュウ,,2075,1
1381,忠,,心,8,6,,loyalty,チュウ,,4797,1
1382,抽,,手,8,S,,pluck,チュウ,,3172,1
1383,注,,水,8,3,,pour,チュウ,そそ-ぐ,768,4
1384,昼,晝,日,9,2,,daytime,チュウ,ひる,2611,4
1385,柱,,木,9,3,,pillar,チュウ,はしら,2420,2
1386,衷,,衣,9,S,,inmost,チュウ,,54067,1
1387,酎,,酉,10,S,2010,sake,チュウ,,8771,1
1388,鋳,鑄,金,15,S,,casting,チュウ,い-る,24369,1
1389,駐,,馬,15,S,,stop-over,チュウ,,2588,2
1390,著,著,艸,11,6,,renowned,チョ,あらわ-す|いちじる-しい,1661,2
1391,貯,,貝,12,5,,savings,チョ,,6545,2
1392,丁,,一,2,3,,ward,チョウ|テイ,,880,1
1393,弔,,弓,4,S,,condolences,チョウ,とむら-う,22646,1
1394,庁,廳,广,5,6,,government office,チョウ,,4787,2
1395,兆,,儿,6,4,,portent|trillion,チョウ,きざ-す|きざ-し,8195,2
1396,町,,田,7,1,,town,チョウ,まち,593,4
1397,長,,長,8,2,,long,チョウ,なが-い,288,5
1398,挑,,手,9,S,1981,challenge,チョウ,いど-む,3622,1
1399,帳,,巾,11,3,,account book,チョウ,,5759,1
1400,張,,弓,11,5,,stretch,チョウ,は-る,279,1
1401,彫,,彡,11,S,,carve,チョウ,ほ-る,6705,1
1402,眺,,目,11,S,1981,stare,チョウ,なが-める,989,1
1403,釣,,金,11,S,1981,angling,チョウ,つ-る,4733,1
1404,頂,,頁,11,6,,place on the head,チョウ,いただ-く|いただき,523,3
1405,鳥,,鳥,11,2,,bird,チョウ,とり,1875,4
1406,朝,,月,12,2,,morning,チョウ,あさ,568,4
1407,貼,,貝,12,S,2010,paste,チョウ,は-る,36762,1
1408,超,,走,12,S,,transcend,チョウ,こ-える|こ-す,16528,2
1409,腸,,肉,13,6,,intestines,チョウ,,6705,1
1410,跳,,足,13,S,,hop,チョウ,は-ねる|と-ぶ,11982,1
1411,徴,徵,彳,14,S,,indications,チョウ,,778,1
1412,嘲,,口,15,S,2010,ridicule,チョウ,あざけ-る,16018,1
1413,潮,,水,15,6,,tide,チョウ,しお,5589,1
1414,澄,,水,15,S,,lucidity,チョウ,す-む|す-ます,5673,1
1415,調,,言,15,3,,investigate,チョウ,しら-べる|ととの-う|ととの-える,524,3
1416,聴,聽,耳,17,S,,listen,チョウ,き-く,8973,1
1417,懲,懲,心,18,S,,penal,チョウ,こ-りる|こ-らす|こ-らしめる,7107,1
1418,直,,目,8,2,,straight,チョク|ジキ,ただ-ちに|なお-す|なお-る,206,3
1419,勅,敕,力,9,S,,imperial order,チョク,,28287,1
1420,捗,,手,10,S,2010,make progress,チョク,,17699,1
1421,沈,,水,7,S,,sink,チン,しず-む|しず-める,2889,2
1422,珍,,玉,9,S,,rare,チン,めずら-しい,1270,2
1423,朕,,月,10,S,,majestic plural,チン,,25093,1
1424,陳,,阜,11,S,,exhibit,チン,,16470,1
1425,賃,,貝,13,6,,fare,チン,,3758,1
1426,鎮,鎭,金,18,S,,tranquilize,チン,しず-める|しず-まる,20538,1
1427,追,,辵,9,3,,follow,ツイ,お-う,1077,3
1428,椎,,木,12,S,2010,oak,ツイ,,8790,1
1429,墜,,土,15,S,,crash,ツイ,,18928,1
1430,通,,辵,10,2,,pass through,ツウ（ツ）,とお-る|とお-す|かよ-う,328,4
1431,痛,,疒,12,6,,pain,ツウ,いた-い|いた-む|いた-める,979,3
1432,塚,塚,土,12,S,1981,hillock,,つか,19424,1
1433,漬,,水,14,S,1981,pickling,,つ-ける|つ-かる,8252,1
1434,坪,,土,8,S,,two-mat area,,つぼ,39544,1
1435,爪,,爪,4,S,2010,claw,,つめ（つま）,3019,1
1436,鶴,,鳥,21,S,2010,crane,,つる,8943,1
1437,低,,人,7,4,,low,テイ,ひく-い|ひく-める|ひく-まる,503,2
1438,呈,,口,7,S,,display,テイ,,5257,1
1439,廷,,廴,7,S,,courts,テイ,,5453,1
1440,弟,,弓,7,2,,younger brother,テイ（ダイ）（デ）,おとうと,1614,4
1441,定,,宀,8,3,,decide,テイ|ジョウ,さだ-める|さだ-まる|さだ-か,377,3
1442,底,,广,8,4,,bottom,テイ,そこ,1632,2
1443,抵,,手,8,S,,resist,テイ,,1866,1
1444,邸,,邑,8,S,,residence,テイ,,14035,1
1445,亭,,亠,9,S,1981,pavilion,テイ,,6825,1
1446,貞,,貝,9,S,,upright,テイ,,18418,1
1447,帝,,巾,9,S,,sovereign,テイ,,4300,1
1448,訂,,言,9,S,,revise,テイ,,9264,1
1449,庭,,广,10,3,,garden,テイ,にわ,909,3
1450,逓,遞,辵,10,S,,relay,テイ,,75993,1
1451,停,,人,11,5,,halt,テイ,,4212,2
1452,偵,,人,11,S,1981,spy,テイ,,13050,1
1453,堤,,土,12,S,,dike,テイ,つつみ,9716,1
1454,提,,手,12,5,,present,テイ,さ-げる,1020,1
1455,程,,禾,12,5,,extent,テイ,ほど,477,3
1456,艇,,舟,13,S,,rowboat,テイ,,24083,1
1457,締,,糸,15,S,,tighten,テイ,し-まる|し-める,1818,1
1458,諦,,言,16,S,2010,abandon,テイ,あきら-める,1584,1
1459,泥,,水,8,S,1981,mud,デイ,どろ,5578,2
1460,的,,白,8,4,,target,テキ,まと,373,4
1461,笛,,竹,11,3,,flute,テキ,ふえ,8311,1
1462,摘,,手,14,S,,pinch,テキ,つ-む,1096,1
1463,滴,,水,14,S,,drip,テキ,しずく|したた-る,10385,2
1464,適,,辵,14,5,,suitable,テキ,,1074,3
1465,敵,,攴,15,6,,enemy,テキ,かたき,1039,1
1466,溺,,水,13,S,2010,drown,デキ,おぼ-れる,8409,1
1467,迭,,辵,8,S,,transfer,テツ,,48898,1
1468,哲,,口,10,S,,philosophy,テツ,,3791,1
1469,鉄,鐵,金,13,3,,iron,テツ,,3170,2
1470,徹,,彳,15,S,,penetrate,テツ,,3209,1
1471,撤,,手,15,S,,remove,テツ,,9918,1
1472,天,,大,4,1,,heaven,テン,あめ（あま）,1718,5
1473,典,,八,8,4,,code,テン,,4231,1
1474,店,,广,8,2,,shop,テン,みせ,530,4
1475,点,點,黑,9,2,,point,テン,,260,3
1476,展,,尸,10,6,,expand,テン,,1293,1
1477,添,,水,11,S,,annexed,テン,そ-える|そ-う,2412,1
1478,転,轉,車,11,3,,revolve,テン,ころ-がる|ころ-げる|ころ-がす|ころ-ぶ,1774,4
1479,塡,,土,13,S,2010,fill in,テン,,536048,1
1480,田,,田,5,1,,rice paddy,デン,た,2914,4
1481,伝,傳,人,6,4,,transmit,デン,つた-わる|つた-える|つた-う,493,3
1482,殿,,殳,13,S,,Mr.,デン|テン,との|どの,7575,2
1483,電,,雨,13,2,,electricity,デン,,369,5
1484,斗,,斗,4,S,,Big Dipper,ト,,11408,1
1485,吐,,口,6,S,,spit,ト,は-く,2301,1
1486,妬,,女,8,S,2010,jealousy,ト,ねた-む,6860,1
1487,徒,,彳,10,4,,junior,ト,,1392,3
1488,途,,辵,10,S,,route,ト,,965,3
1489,都,都,邑,11,3,,metropolis,ト|ツ,みやこ,1429,3
1490,渡,,水,12,S,,transit,ト,わた-る|わた-す,917,3
1491,塗,,土,13,S,,paint,ト,ぬ-る,1797,2
1492,賭,,貝,16,S,2010,gamble,ト,か-ける,10309,1
1493,土,,土,3,1,,soil,ド|ト,つち,636,5
1494,奴,,女,5,S,,guy,ド,,561,1
1495,努,,力,7,4,,toil,ド,つと-める,954,3
1496,度,,广,9,3,,degrees,ド（ト）（タク）,たび,291,4
1497,怒,,心,9,S,,angry,ド,いか-る|おこ-る,1136,3
1498,刀,,刀,2,2,,sword,トウ,かたな,3370,1
1499,冬,,冫,5,2,,winter,トウ,ふゆ,1045,4
1500,灯,燈,火,6,4,,lamp,トウ,ひ,8973,2
1501,当,當,田,6,2,,hit,トウ,あ-たる|あ-てる,201,3
1502,投,,手,7,3,,throw,トウ,な-げる,2297,3
1503,豆,,豆,7,3,,beans,トウ（ズ）,まめ,4389,1
1504,東,,木,8,2,,east,トウ,ひがし,510,5
1505,到,,刀,8,S,,arrival,トウ,,2489,3
1506,逃,,辵,9,S,,escape,トウ,に-げる|に-がす|のが-す|のが-れる,1072,3
1507,倒,,人,10,S,,overthrow,トウ,たお-れる|たお-す,1787,3
1508,凍,,冫,10,S,,frozen,トウ,こお-る|こご-える,5970,2
1509,唐,,口,10,S,,T'ang,トウ,から,7035,1
1510,島,,山,10,3,,island,トウ,しま,1416,2
1511,桃,,木,10,S,,peach tree,トウ,もも,4007,1
1512,討,,言,10,6,,chastise,トウ,う-つ,975,1
1513,透,,辵,10,S,,transparent,トウ,す-く|す-かす|す-ける,5068,1
1514,党,黨,黑,10,6,,group,トウ,,3192,2
1515,悼,,心,11,S,,lament,トウ,いた-む,25550,1
1516,盗,盜,皿,11,S,,steal,トウ,ぬす-む,3264,3
1517,陶,,阜,11,S,,pottery,トウ,,11076,1
1518,塔,,土,12,S,,pagoda,トウ,,4760,2
1519,搭,,手,12,S,1981,board,トウ,,4681,1
1520,棟,,木,12,S,1981,ridgepole,トウ,むね（むな）,14415,1
1521,湯,,水,12,3,,hot water,トウ,ゆ,2527,2
1522,痘,,疒,12,S,,pox,トウ,,33856,1
1523,登,,癶,12,3,,climb,トウ|ト,のぼ-る,1174,3
1524,答,,竹,12,2,,answer,トウ,こた-える|こた-え,344,4
1525,等,,竹,12,3,,class,トウ,ひと-しい,270,3
1526,筒,,竹,12,S,,cylinder,トウ,つつ,4410,2
1527,統,,糸,12,5,,unite,トウ,す-べる,2465,1
1528,稲,稻,禾,14,S,,rice plant,トウ,いね（いな）,7081,1
1529,踏,,足,15,S,,step,トウ,ふ-む|ふ-まえる,1492,1
1530,糖,,米,16,6,,sugar,トウ,,2640,1
1531,頭,,頁,16,2,,head,トウ|ズ（ト）,あたま|かしら,252,3
1532,謄,,言,17,S,,mimeograph,トウ,,21150,1
1533,藤,,艸,18,S,2010,wisteria,トウ,ふじ,6136,1
1534,闘,鬭,鬥,18,S,,fight,トウ,たたか-う,5027,1
1535,騰,,馬,20,S,,inflation,トウ,,7668,1
1536,同,,口,6,2,,same,ドウ,おな-じ,137,4
1537,洞,,水,9,S,1981,den,ドウ,ほら,7695,1
1538,胴,,肉,10,S,,trunk,ドウ,,10654,1
1539,動,,力,11,3,,move,ドウ,うご-く|うご-かす,555,4
1540,堂,,土,11,5,,public chamber,ドウ,,4197,4
1541,童,,立,12,3,,juvenile,ドウ,わらべ,2956,2
1542,道,,辵,12,2,,road,ドウ（トウ）,みち,395,4
1543,働,,人,13,4,,work,ドウ,はたら-く,432,3
1544,銅,,金,14,5,,copper,ドウ,,8153,2
1545,導,,寸,15,5,,guide,ドウ,みちび-く,1482,2
1546,瞳,,目,17,S,2010,pupil,ドウ,ひとみ,2318,1
1547,峠,,山,9,S,,mountain peak,,とうげ,7248,1
1548,匿,,匸,10,S,,hide,トク,,13476,1
1549,特,,牛,10,4,,special,トク,,212,4
1550,得,,彳,11,5,,acquire,トク,え-る|う-る,240,3
1551,督,,目,13,S,,coach,トク,,1918,1
1552,徳,德,彳,14,4,,benevolence,トク,,7017,1
1553,篤,,竹,16,S,,fervent,トク,,17314,1
1554,毒,,毋,8,5,,poison,ドク,,5545,2
1555,独,獨,犬,9,5,,alone,ドク,ひと-り,2169,1
1556,読,讀,言,14,2,,read,ドク|トク（トウ）,よ-む,292,5
1557,栃,,木,9,4,2010,horse chestnut,（とち）,,9851,1
1558,凸,,凵,5,S,1981,convex,トツ,,16127,1
1559,突,突,穴,8,S,,stab,トツ,つ-く,849,3
1560,届,屆,尸,8,6,,deliver,,とど-ける|とど-く,827,2
1561,屯,,屮,4,S,1981,barracks,トン,,16973,1
1562,豚,,豕,11,S,,pork,トン,ぶた,4484,1
1563,頓,,頁,13,S,2010,suddenly,トン,,30426,1
1564,貪,,貝,11,S,2010,covet,ドン,むさぼ-る,12882,1
1565,鈍,,金,12,S,,dull,ドン,にぶ-い|にぶ-る,5742,2
1566,曇,,日,16,S,,cloudy weather,ドン,くも-る,5583,2
1567,丼,,丶,5,S,2010,bowl of food,,どんぶり（どん）,12469,1
1568,那,,邑,7,S,2010,what,ナ,,1916,1
1569,奈,,大,8,4,2010,what,ナ,,5828,1
1570,内,,入,4,2,,inside,ナイ（ダイ）,うち,134,3
1571,梨,,木,11,4,2010,pear tree,,なし,9392,1
1572,謎,,言,17,S,2010,riddle,,なぞ,2627,1
1573,鍋,,金,17,S,2010,pot,,なべ,2316,1
1574,南,,十,9,2,,south,ナン（ナ）,みなみ,1626,5
1575,軟,,車,11,S,,soft,ナン,やわ-らか|やわ-らかい,3478,2
1576,難,難,隹,18,6,,difficult,ナン,かた-い|むずか-しい,465,3
1577,二,,二,2,1,,two,ニ,ふた|ふた-つ,78,5
1578,尼,,尸,5,S,,nun,ニ,あま,24946,1
1579,弐,貳,貝,6,S,,two (falsification prevention),ニ,,94453,1
1580,匂,,勹,4,S,2010,scent,,にお-う,984,1
1581,肉,,肉,6,2,,meat,ニク,,1564,4
1582,虹,,虫,9,S,2010,rainbow,,にじ,7865,1
1583,日,,日,4,1,,day,ニチ|ジツ,ひ|か,111,5
1584,入,,入,2,1,,enter,ニュウ,い-る|い-れる|はい-る,110,5
1585,乳,,乙,8,6,,milk,ニュウ,ちち|ち,3126,2
1586,尿,,尸,7,S,,urine,ニョウ,,5334,1
1587,任,,人,6,5,,responsibility,ニン,まか-せる|まか-す,705,3
1588,妊,,女,7,S,,pregnancy,ニン,,3546,1
1589,忍,,心,7,S,,endure,ニン,しの-ぶ|しの-ばせる,10510,1
1590,認,,言,14,6,,recognize,ニン,みと-める,287,3
1591,寧,,宀,14,S,,rather,ネイ,,711,1
1592,熱,,火,15,4,,heat,ネツ,あつ-い,1562,3
1593,年,,干,6,1,,year,ネン,とし,712,5
1594,念,,心,8,4,,thought,ネン,,1036,3
1595,捻,,手,11,S,2010,twist,ネン,,4992,1
1596,粘,,米,11,S,,sticky,ネン,ねば-る,8130,1
1597,燃,,火,16,5,,burn,ネン,も-える|も-やす|も-す,2688,2
1598,悩,惱,心,10,S,,trouble,ノウ,なや-む|なや-ます,1243,2
1599,納,,糸,10,6,,settlement,ノウ（ナッ）（ナ）（ナン）（トウ）,おさ-める|おさ-まる,2559,1
1600,能,,肉,10,5,,ability,ノウ,,409,3
1601,脳,腦,肉,11,6,,brain,ノウ,,1657,2
1602,農,,辰,13,3,,farming,ノウ,,2165,2
1603,濃,,水,16,S,,concentrated,ノウ,こ-い,1837,2
1604,把,,手,7,S,1981,grasp,ハ,,1966,1
1605,波,,水,8,3,,wave,ハ,なみ,1961,2
1606,派,,水,9,6,,sect,ハ,,1555,1
1607,破,,石,10,5,,rend,ハ,やぶ-る|やぶ-れる,2802,3
1608,覇,霸,雨,19,S,1981,hegemony,ハ,,21936,1
1609,馬,,馬,10,2,,horse,バ,うま（ま）,1028,3
1610,婆,,女,11,S,,old woman,バ,,7958,1
1611,罵,,网,15,S,2010,insult,バ,ののし-る,9186,1
1612,拝,拜,手,8,6,,worship,ハイ,おが-む,8535,2
1613,杯,,木,8,S,,counter for cupfuls,ハイ,さかずき,1589,3
1614,背,,肉,9,6,,back,ハイ,せ|せい|そむ-く|そむ-ける,1139,3
1615,肺,,肉,9,6,,lungs,ハイ,,6415,1
1616,俳,,人,10,6,,haiku,ハイ,,5020,1
1617,配,,酉,10,3,,distribute,ハイ,くば-る,1466,3
1618,排,,手,11,S,,repudiate,ハイ,,3565,1
1619,敗,,攴,11,4,,failure,ハイ,やぶ-れる,2006,3
1620,廃,廢,广,12,S,,abolish,ハイ,すた-れる|すた-る,3478,1
1621,輩,,車,15,S,,comrade,ハイ,,2519,1
1622,売,賣,貝,7,2,,sell,バイ,う-る|う-れる,666,4
1623,倍,,人,10,3,,double,バイ,,4992,2
1624,梅,梅,木,10,4,,ume (Japanese apricot),バイ,うめ,4880,1
1625,培,,土,11,S,,cultivate,バイ,つちか-う,6691,1
1626,陪,,阜,11,S,,obeisance,バイ,,30209,1
1627,媒,,女,12,S,,mediator,バイ,,11932,1
1628,買,,貝,12,2,,buy,バイ,か-う,226,4
1629,賠,,貝,15,S,,compensation,バイ,,7081,1
1630,白,,白,5,1,,white,ハク|ビャク,しろ（しら）|しろ-い,538,5
1631,伯,,人,7,S,,chief,ハク,,2307,1
1632,拍,,手,8,S,,clap,ハク（ヒョウ）,,5491,1
1633,泊,,水,8,S,,overnight,ハク,と-まる|と-める,2536,2
1634,迫,,辵,8,S,,urge,ハク,せま-る,1425,1
1635,剝,,刀,10,S,2010,peel,ハク,は-がす|は-ぐ|は-がれる|は-げる,9999999,1
1636,舶,,舟,11,S,,liner,ハク,,5113,1
1637,博,,十,12,4,,Dr.,ハク（バク）,,4818,1
1638,薄,,艸,16,S,,dilute,ハク,うす-い|うす-める|うす-まる|うす-らぐ|うす-れる,1168,2
1639,麦,麥,麥,7,2,,wheat,バク,むぎ,6421,2
1640,漠,,水,13,S,1981,vague,バク,,4872,1
1641,縛,,糸,16,S,,truss,バク,しば-る,3854,1
1642,爆,,火,19,S,,explode,バク,,5403,2
1643,箱,,竹,15,3,,box,,はこ,2184,3
1644,箸,,竹,15,S,2010,chopsticks,,はし,4584,1
1645,畑,,田,9,3,,farm,,はた|はたけ,2654,1
1646,肌,,肉,6,S,1981,texture,,はだ,1341,2
1647,八,,八,2,1,,eight,ハチ,や|や-つ|やっ-つ（よう）,522,5
1648,鉢,,金,13,S,1981,bowl,ハチ（ハツ）,,6433,1
1649,発,發,癶,9,3,,departure,ハツ|ホツ,,719,4
1650,髪,髮,髟,14,S,,hair of the head,ハツ,かみ,1121,3
1651,伐,,人,6,S,,fell,バツ,,18418,1
1652,抜,拔,手,7,S,,slip out,バツ,ぬ-く|ぬ-ける|ぬ-かす|ぬ-かる,1347,3
1653,罰,,网,14,S,,penalty,バツ|バチ,,5194,1
1654,閥,,門,14,S,,clique,バツ,,13716,1
1655,反,,又,4,3,,anti-,ハン（ホン）（タン）,そ-る|そ-らす,1645,3
1656,半,,十,5,2,,half,ハン,なか-ば,2000,5
1657,氾,,水,5,S,2010,spread out,ハン,,16831,1
1658,犯,,犬,5,5,,crime,ハン,おか-す,1478,3
1659,帆,,巾,6,S,,sail,ハン,ほ,14827,1
1660,汎,,水,6,S,2010,pan-,ハン,,40769,1
1661,伴,,人,7,S,,consort,ハン|バン,ともな-う,516,1
1662,判,,刀,7,5,,judge,ハン|バン,,1104,3
1663,坂,,土,7,3,,slope,ハン,さか,4880,2
1664,阪,,阜,7,4,2010,heights,ハン,,1493,1
1665,板,,木,8,3,,board,ハン|バン,いた,3499,2
1666,版,,片,8,5,,printing block,ハン,,3693,2
1667,班,,玉,10,6,,squad,ハン,,17170,1
1668,畔,,田,10,S,,paddy-ridge,ハン,,20245,1
1669,般,,舟,10,S,,generally,ハン,,805,2
1670,販,,貝,11,S,,marketing,ハン,,2510,2
1671,斑,,文,12,S,2010,blemish,ハン,,18741,1
1672,飯,,食,12,4,,meal,ハン,めし,1322,4
1673,搬,,手,13,S,,conveyor,ハン,,17170,1
1674,煩,,火,13,S,,anxiety,ハン（ボン）,わずら-う|わずら-わす,2791,1
1675,頒,,頁,13,S,,partition,ハン,,70996,1
1676,範,,竹,15,S,,pattern,ハン,,1164,1
1677,繁,繁,糸,16,S,,luxuriant,ハン,,3158,1
1678,藩,,艸,18,S,,clan,ハン,,7813,1
1679,晩,晚,日,12,6,,nightfall,バン,,3202,3
1680,番,,田,12,2,,one's turn,バン,,251,3
1681,蛮,蠻,虫,12,S,,barbarian,バン,,17170,1
1682,盤,,皿,15,S,,tray,バン,,3376,1
1683,比,,比,4,5,,compare,ヒ,くら-べる,413,2
1684,皮,,皮,5,3,,skin,ヒ,かわ,1876,2
1685,妃,,女,6,S,,queen,ヒ,,14934,1
1686,否,,口,7,6,,negate,ヒ,いな,468,3
1687,批,,手,7,6,,criticism,ヒ,,2108,1
1688,彼,,彳,8,S,,he,ヒ,かれ（かの）,94,3
1689,披,,手,8,S,1981,expose,ヒ,,5168,1
1690,肥,,肉,8,5,,fertilizer,ヒ,こ-える|こえ|こ-やす|こ-やし,6456,1
1691,非,,非,8,5,,negative,ヒ,,338,3
1692,卑,卑,十,9,S,,lowly,ヒ,いや-しい|いや-しむ|いや-しめる,11906,1
1693,飛,,飛,9,4,,fly,ヒ,と-ぶ|と-ばす,898,3
1694,疲,,疒,10,S,,exhausted,ヒ,つか-れる,1292,3
1695,秘,祕,示,10,6,,secret,ヒ,ひ-める,1977,1
1696,被,,衣,10,S,,incur,ヒ,こうむ-る,1314,2
1697,悲,,心,12,3,,sad,ヒ,かな-しい|かな-しむ,1841,3
1698,扉,,戶,12,S,1981,front door,ヒ,とびら,1983,1
1699,費,,貝,12,5,,expense,ヒ,つい-やす|つい-える,1123,3
1700,碑,碑,石,14,S,,tombstone,ヒ,,10493,1
1701,罷,,网,15,S,,quit,ヒ,,20331,1
1702,避,,辵,16,S,,evade,ヒ,さ-ける,928,1
1703,尾,,尸,7,S,,tail,ビ,お,5316,1
1704,眉,,目,9,S,2010,eyebrow,ビ（ミ）,まゆ,3376,1
1705,美,,羊,9,3,,beauty,ビ,うつく-しい,473,3
1706,備,,人,12,5,,provide,ビ,そな-える|そな-わる,729,3
1707,微,,彳,13,S,,delicate,ビ,,2056,1
1708,鼻,,鼻,14,3,,nose,ビ,はな,1402,2
1709,膝,,肉,15,S,2010,knee,,ひざ,1617,1
1710,肘,,肉,7,S,2010,elbow,,ひじ,5506,1
1711,匹,,匸,4,S,,equal,ヒツ,ひき,4332,2
1712,必,,心,5,4,,without fail,ヒツ,かなら-ず,179,3
1713,泌,,水,8,S,,ooze,ヒツ|ヒ,,9425,1
1714,筆,,竹,12,3,,writing brush,ヒツ,ふで,2858,2
1715,姫,,女,10,S,,princess,,ひめ,6393,1
1716,百,,白,6,1,,hundred,ヒャク,,2485,5
1717,氷,,水,5,3,,ice,ヒョウ,こおり|ひ,3212,2
1718,表,,衣,8,3,,express,ヒョウ,おもて|あらわ-す|あらわ-れる,475,3
1719,俵,,人,10,6,,bag,ヒョウ,たわら,13523,1
1720,票,,示,11,4,,ballot,ヒョウ,,6510,1
1721,評,,言,12,5,,evaluate,ヒョウ,,742,1
1722,漂,,水,14,S,,drift,ヒョウ,ただよ-う,2366,1
1723,標,,木,15,4,,signpost,ヒョウ,,948,1
